Handle,Title,Vendor,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant Price,Variant SKU,Status,Image Src,Type,Metafield: custom.breadCrumbs [single_line_text_field],ID (Ref),Handle (Ref),Import Result,Import Comment
S-4620,S-4620,Arka,FALSE,Size,14x11x3,,,,,1.36,S-4620,draft,https://img.uline.com/is/image/uline/S-4620?$MediumRHD$,uline,"Home > All Products > Boxes, Corrugated > Corrugated Boxes (200# Test) > Flat Boxes",8.19257E+12,s-4620,OK,UPDATE: Found by Handle | Assuming MERGE for Variant Command | Assuming MERGE for Image Command | Variants updated by SKU: 1
S-4145,S-4145,Arka,FALSE,Size,14x11x6,,,,,1.5,S-4145,draft,https://img.uline.com/is/image/uline/S-4145?$MediumRHD$,uline,"Home > All Products > Boxes, Corrugated > Corrugated Boxes (200# Test) > Misc Box Sizes",8.19257E+12,s-4145,OK,UPDATE: Found by Handle | Assuming MERGE for Variant Command | Assuming MERGE for Image Command | Variants updated by SKU: 1
S-15047,S-15047,Arka,FALSE,Size,14x11x8,,,,,1.71,S-15047,draft,https://img.uline.com/is/image/uline/S-15047?$MediumRHD$,uline,"Home > All Products > Boxes, Corrugated > Corrugated Boxes (200# Test) > Misc Box Sizes",8.19257E+12,s-15047,OK,UPDATE: Found by Handle | Assuming MERGE for Variant Command | Assuming MERGE for Image Command | Variants updated by SKU: 1
S-24054,S-24054,Arka,FALSE,Size,14x11x10,,,,,1.79,S-24054,draft,https://img.uline.com/is/image/uline/S-24054?$MediumRHD$,uline,"Home > All Products > Boxes, Corrugated > Corrugated Boxes (200# Test) > Misc Box Sizes",8.19257E+12,s-24054,OK,UPDATE: Found by Handle | Assuming MERGE for Variant Command | Assuming MERGE for Image Command | Variants updated by SKU: 1
S-16736,S-16736,Arka,FALSE,Size,14x11x11,,,,,1.81,S-16736,draft,https://img.uline.com/is/image/uline/S-16736?$MediumRHD$,uline,"Home > All Products > Boxes, Corrugated > Corrugated Boxes (200# Test) > Misc Box Sizes",8.19257E+12,s-16736,OK,UPDATE: Found by Handle | Assuming MERGE for Variant Command | Assuming MERGE for Image Command | Variants updated by SKU: 1
S-16738,S-16738,Arka,FALSE,Size,14x12x3,,,,,1.38,S-16738,draft,https://img.uline.com/is/image/uline/S-16738?$MediumRHD$,uline,"Home > All Products > Boxes, Corrugated > Corrugated Boxes (200# Test) > Flat Boxes",8.19257E+12,s-16738,OK,UPDATE: Found by Handle | Assuming MERGE for Variant Command | Assuming MERGE for Image Command | Variants updated by SKU: 1
S-4695,S-4695,Arka,FALSE,Size,14x12x4,,,,,1.39,S-4695,draft,https://img.uline.com/is/image/uline/S-4695?$MediumRHD$,uline,"Home > All Products > Boxes, Corrugated > Corrugated Boxes (200# Test) > Flat Boxes",8.19257E+12,s-4695,OK,UPDATE: Found by Handle | Assuming MERGE for Variant Command | Assuming MERGE for Image Command | Variants updated by SKU: 1
S-4987,S-4987,Arka,FALSE,Size,14x12x6,,,,,1.52,S-4987,draft,https://img.uline.com/is/image/uline/S-4987?$MediumRHD$,uline,"Home > All Products > Boxes, Corrugated > Corrugated Boxes (200# Test) > Misc Box Sizes",8.19257E+12,s-4987,OK,UPDATE: Found by Handle | Assuming MERGE for Variant Command | Assuming MERGE for Image Command | Variants updated by SKU: 1
S-4423,S-4423,Arka,FALSE,Size,14x12x6,,,,,1.03,S-4423,draft,https://img.uline.com/is/image/uline/S-4423?$MediumRHD$,uline,"Home > All Products > Boxes, Corrugated > Corrugated Boxes (200# Test) > Multi-Depth Boxes",8.19257E+12,s-4423,OK,UPDATE: Found by Handle | Assuming MERGE for Variant Command | Assuming MERGE for Image Command | Variants updated by SKU: 1
S-4530,S-4530,Arka,FALSE,Size,14x12x8,,,,,1.22,S-4530,draft,https://img.uline.com/is/image/uline/S-4530?$MediumRHD$,uline,"Home > All Products > Boxes, Corrugated > Corrugated Boxes (200# Test) > Misc Box Sizes",8.19257E+12,s-4530,OK,UPDATE: Found by Handle | Assuming MERGE for Variant Command | Assuming MERGE for Image Command | Variants updated by SKU: 1
