n,W,L,H
JC9-C55-090,4.92,12.6,4.53
GS9-001-070,4.92,12.6,4.53
J80-925-090,4.92,12.6,4.53
EQ4-090-090,4.92,12.6,4.53
FD2-090-060,4.92,12.6,4.53
GS9-A93-080,4.92,12.6,4.53
J80-D11-100,4.92,12.6,4.53
FD2-399-070,4.92,12.6,4.53
ER9-953-090,5,12.5,4.51
EM7-959-050,7,9,4.51
HT2-B26-030,5.01,11.4,5
E3E-001-070,6.2,11.5,4.01
CK1-675-040,6.3,11.02,4.13
CK1-090-045,6.3,11.02,4.13
GR6-A76-060,6.3,11.02,4.13
O83-745-065,6.3,11.02,4.13
CK1-675-030,6.3,11.02,4.13
CK1-090-040,6.3,11.02,4.13
DV5-399-065,6.3,11.02,4.13
CK1-090-030,6.3,11.02,4.13
HQ7-001-070,6.3,11.02,4.13
EM7-090-040,6.3,11.02,4.13
DX9-A94-065,6.3,11.02,4.13
DX9-B09-065,6.3,11.02,4.13
DV5-399-050,6.3,11.02,4.13
GR6-A76-065,6.3,11.02,4.13
V80-001-070,6.3,11.02,4.13
Q74-001-030,6.3,11.02,4.13
Z52-546-060,6.3,11.02,4.13
CW6-898-065,6.3,11.02,4.13
Q74-592-045,6.3,11.02,4.13
CK1-675-045,6.3,11.02,4.13
Q74-001-045,6.3,11.02,4.13
CK1-011-030,6.3,11.02,4.13
CW6-898-060,6.3,11.02,4.13
CK1-011-040,6.3,11.02,4.13
CW6-898-055,6.3,11.02,4.13
DX9-B09-055,6.3,11.02,4.13
Q74-001-040,6.3,11.02,4.13
Q74-592-030,6.3,11.02,4.13
CK1-011-045,6.3,11.02,4.13
Q74-592-040,6.3,11.02,4.13
DX9-A94-055,6.3,11.02,4.13
GR6-A76-050,6.3,11.02,4.13
GR6-001-065,6.3,11.02,4.13
HX8-B58-030,6.2,11.3,4.11
HX8-B41-045,6.2,11.3,4.11
IH2-B94-030,6.2,11.3,4.11
HX8-B41-030,6.2,11.3,4.11
IH2-011-050,6.2,11.3,4.11
IH2-011-045,6.2,11.3,4.11
HX8-A69-030,6.2,11.3,4.11
HX8-B41-040,6.2,11.3,4.11
HX8-B41-065,6.2,11.3,4.11
HX8-A69-055,6.2,11.3,4.11
IH2-011-030,6.2,11.3,4.11
IH2-B94-040,6.2,11.3,4.11
HX8-B41-055,6.2,11.3,4.11
IH2-B94-050,6.2,11.3,4.11
IH2-B94-055,6.2,11.3,4.11
IH2-B94-080,6.2,11.3,4.11
IH2-011-070,6.2,11.3,4.11
IH2-B94-060,6.2,11.3,4.11
IH2-011-090,6.2,11.3,4.11
HX8-A69-050,6.2,11.3,4.11
HX8-B58-080,6.2,11.3,4.11
IH2-B94-070,6.2,11.3,4.11
HX8-A69-070,6.2,11.3,4.11
HX8-A69-040,6.2,11.3,4.11
HX8-B41-050,6.2,11.3,4.11
HX8-B58-050,6.2,11.3,4.11
HX8-B41-090,6.2,11.3,4.11
IH2-011-060,6.2,11.3,4.11
HX8-B77-030,6.2,11.3,4.11
IH2-B94-065,6.2,11.3,4.11
HX8-B41-080,6.2,11.3,4.11
IH2-011-040,6.2,11.3,4.11
HX8-B41-060,6.2,11.3,4.11
IH2-011-065,6.2,11.3,4.11
HX8-A69-090,6.2,11.3,4.11
HX8-A69-060,6.2,11.3,4.11
IH2-011-055,6.2,11.3,4.11
HX8-B41-070,6.2,11.3,4.11
HX8-A69-080,6.2,11.3,4.11
HX8-A69-045,6.2,11.3,4.11
IH2-011-080,6.2,11.3,4.11
HX8-B58-040,6.2,11.3,4.11
HX8-A69-065,6.2,11.3,4.11
HX8-B77-070,6.2,11.3,4.11
HX9-040-050,6.3,11.5,4.01
E3D-D07-055,6.3,11.5,4.01
E3D-D07-065,6.3,11.5,4.01
E3D-D07-060,6.3,11.5,4.01
E3D-090-050,6.3,11.5,4.01
E3D-D07-050,6.3,11.5,4.01
E3E-001-050,6.3,11.5,4.01
E3E-A99-050,6.3,11.5,4.01
E3D-090-060,6.3,11.5,4.01
E3D-090-055,6.3,11.5,4.01
HX8-001-090,6.2,11.5,4.11
HX8-001-060,6.2,11.5,4.11
HX8-001-070,6.2,11.5,4.11
HX8-001-065,6.2,11.5,4.11
HX8-001-030,6.2,11.5,4.11
HX8-001-080,6.2,11.5,4.11
HX8-001-055,6.2,11.5,4.11
HX8-001-050,6.2,11.5,4.11
HX8-001-040,6.2,11.5,4.11
HX8-001-045,6.2,11.5,4.11
HD9-B09-010,7,10.5,4.01
HD9-B09-020,7,10.5,4.01
IH2-675-055,6.4,11.5,4.01
IH2-675-050,6.4,11.5,4.01
HX8-399-060,6.4,11.5,4.01
HX9-399-040,6.4,11.5,4.01
HX8-399-065,6.4,11.5,4.01
HX8-C32-030,6.4,11.5,4.01
HX8-C32-060,6.4,11.5,4.01
HX8-399-050,6.4,11.5,4.01
HX8-399-090,6.4,11.5,4.01
HX9-399-055,6.4,11.5,4.01
HX9-399-070,6.4,11.5,4.01
IH2-675-030,6.4,11.5,4.01
HX8-C32-065,6.4,11.5,4.01
HX8-399-030,6.4,11.5,4.01
IH2-675-080,6.4,11.5,4.01
HX8-C32-055,6.4,11.5,4.01
HX8-399-040,6.4,11.5,4.01
HX8-C32-045,6.4,11.5,4.01
HX9-399-060,6.4,11.5,4.01
HX8-399-070,6.4,11.5,4.01
IH2-675-045,6.4,11.5,4.01
IH2-675-060,6.4,11.5,4.01
IH2-675-065,6.4,11.5,4.01
HX9-399-090,6.4,11.5,4.01
IH2-675-090,6.4,11.5,4.01
HX8-399-045,6.4,11.5,4.01
HX9-399-065,6.4,11.5,4.01
HX9-399-050,6.4,11.5,4.01
HX9-399-045,6.4,11.5,4.01
IH2-675-040,6.4,11.5,4.01
HX8-C32-040,6.4,11.5,4.01
HX9-399-080,6.4,11.5,4.01
HX8-C32-080,6.4,11.5,4.01
HX8-399-055,6.4,11.5,4.01
HX8-C32-090,6.4,11.5,4.01
IH2-675-070,6.4,11.5,4.01
HX9-399-030,6.4,11.5,4.01
HX8-C32-050,6.4,11.5,4.01
HX8-C32-070,6.4,11.5,4.01
HX8-399-080,6.4,11.5,4.01
JA7-C20-070,5.51,11.81,4.54
HV6-B82-020,7,10.3,4.11
HV6-B82-010,7,10.3,4.11
E3J-001-060,6.3,11.42,4.13
HX8-288-065,6.3,11.42,4.13
E3I-C15-055,6.3,11.42,4.13
E3I-001-060,6.3,11.42,4.13
CK1-675-055,6.3,11.42,4.13
E6T-B41-065,6.3,11.42,4.13
E6T-B41-070,6.3,11.42,4.13
E3I-C15-050,6.3,11.42,4.13
E3L-D20-070,6.3,11.42,4.13
IT4-001-065,6.3,11.42,4.13
Q74-001-065,6.3,11.42,4.13
Q74-592-050,6.3,11.42,4.13
E3J-B41-060,6.3,11.42,4.13
E3J-B41-065,6.3,11.42,4.13
E6T-001-065,6.3,11.42,4.13
E3I-C15-065,6.3,11.42,4.13
E6T-001-060,6.3,11.42,4.13
E3J-B41-050,6.3,11.42,4.13
E3J-011-050,6.3,11.42,4.13
CK1-675-060,6.3,11.42,4.13
IT4-001-050,6.3,11.42,4.13
E6T-B41-055,6.3,11.42,4.13
IA8-001-060,6.3,11.42,4.13
IH2-C89-065,6.3,11.42,4.13
IH2-C89-060,6.3,11.42,4.13
E3J-001-065,6.3,11.42,4.13
IT4-001-070,6.3,11.42,4.13
E6T-001-070,6.3,11.42,4.13
E6T-001-050,6.3,11.42,4.13
IT4-001-060,6.3,11.42,4.13
Q74-592-060,6.3,11.42,4.13
E3L-D20-060,6.3,11.42,4.13
E6T-B41-050,6.3,11.42,4.13
E6T-B41-060,6.3,11.42,4.13
IH4-011-065,6.3,11.42,4.13
EM7-090-060,6.3,11.42,4.13
EM7-090-050,6.3,11.42,4.13
E3I-001-055,6.3,11.42,4.13
IH2-C89-050,6.3,11.42,4.13
IH5-011-060,6.3,11.42,4.13
Q74-001-055,6.3,11.42,4.13
HX8-288-070,6.3,11.42,4.13
HX8-288-060,6.3,11.42,4.13
IT4-001-055,6.3,11.42,4.13
E3J-011-060,6.3,11.42,4.13
Q74-592-065,6.3,11.42,4.13
E3I-001-050,6.3,11.42,4.13
E3J-001-050,6.3,11.42,4.13
IT6-090-050,6.3,11.42,4.13
E3L-D20-050,6.3,11.42,4.13
Q74-001-060,6.3,11.42,4.13
IT4-C15-065,6.3,11.42,4.13
IH2-C89-070,6.3,11.42,4.13
E3J-011-070,6.3,11.42,4.13
CK1-090-065,6.3,11.42,4.13
IH2-C89-055,6.3,11.42,4.13
CK1-090-070,6.3,11.42,4.13
CK1-090-060,6.3,11.42,4.13
HX8-288-050,6.3,11.42,4.13
E3J-001-070,6.3,11.42,4.13
CK1-090-055,6.3,11.42,4.13
CK1-090-050,6.3,11.42,4.13
E3J-011-065,6.3,11.42,4.13
EM7-090-070,6.3,11.42,4.13
IT6-090-065,6.3,11.42,4.13
IH4-011-060,6.3,11.42,4.13
Q74-001-070,6.3,11.42,4.13
CK1-675-050,6.3,11.42,4.13
CK1-011-070,6.3,11.42,4.13
E3J-011-055,6.3,11.42,4.13
Q74-592-055,6.3,11.42,4.13
IA7-001-055,6.3,11.42,4.13
IA7-001-050,6.3,11.42,4.13
Q74-592-070,6.3,11.42,4.13
HX8-288-055,6.3,11.42,4.13
CK1-675-065,6.3,11.42,4.13
IH5-011-050,6.3,11.42,4.13
E3I-C15-070,6.3,11.42,4.13
E3I-001-070,6.3,11.42,4.13
E3I-001-065,6.3,11.42,4.13
E3J-B41-070,6.3,11.42,4.13
E3J-001-055,6.3,11.42,4.13
IH5-011-065,6.3,11.42,4.13
IH5-011-055,6.3,11.42,4.13
Q74-001-050,6.3,11.42,4.13
CK1-011-065,6.3,11.42,4.13
IH5-011-070,6.3,11.42,4.13
IA7-001-065,6.3,11.42,4.13
CK1-011-060,6.3,11.42,4.13
CK1-675-070,6.3,11.42,4.13
IA8-001-055,6.3,11.42,4.13
IA8-001-070,6.3,11.42,4.13
IT6-090-070,6.3,11.42,4.13
CK1-011-055,6.3,11.42,4.13
CK1-011-050,6.3,11.42,4.13
E6T-001-055,6.3,11.42,4.13
IA8-001-065,6.3,11.42,4.13
IA8-001-050,6.3,11.42,4.13
IT6-090-060,6.3,11.42,4.13
E3I-C15-060,6.3,11.42,4.13
IA7-001-070,6.3,11.42,4.13
E3J-B41-055,6.3,11.42,4.13
IA7-001-060,6.3,11.42,4.13
E5X-090-055,6.3,11.42,4.14
E5X-090-050,6.3,11.42,4.14
E5X-B41-065,6.3,11.42,4.14
E5X-B41-055,6.3,11.42,4.14
E5X-B41-060,6.3,11.42,4.14
E5X-B41-070,6.3,11.42,4.14
E5X-B41-050,6.3,11.42,4.14
E5X-090-065,6.3,11.42,4.14
E5X-090-070,6.3,11.42,4.14
HX9-C32-090,6.5,11.5,4.01
HX9-C32-045,6.5,11.5,4.01
HX9-C32-040,6.5,11.5,4.01
HX9-C32-030,6.5,11.5,4.01
HX9-C32-070,6.5,11.5,4.01
HX9-C32-065,6.5,11.5,4.01
HX9-C32-050,6.5,11.5,4.01
HX9-C32-060,6.5,11.5,4.01
HX9-C32-055,6.5,11.5,4.01
HX9-C32-080,6.5,11.5,4.01
E5H-288-055,6.6,10.6,4.31
E5H-B41-045,6.6,10.6,4.31
E5H-288-050,6.6,10.6,4.31
E5H-288-040,6.6,10.6,4.31
E5H-B41-030,6.6,10.6,4.31
E5H-B41-040,6.6,10.6,4.31
E5H-B41-050,6.6,10.6,4.31
E5H-288-030,6.6,10.6,4.31
E5H-288-045,6.6,10.6,4.31
HD9-B12-010,7,10.3,4.21
FP4-A34-010,7.09,10.43,4.13
FP4-694-010,7.09,10.43,4.13
FP4-A40-010,7.09,10.43,4.13
FP4-A40-020,7.09,10.43,4.13
FP4-A26-020,7.09,10.43,4.13
FP4-694-020,7.09,10.43,4.13
FP4-A26-010,7.09,10.43,4.13
JA7-C20-055,5.71,11.81,4.54
JA7-C20-065,5.71,11.81,4.54
JA6-A99-055,5.71,11.81,4.54
JA6-090-055,5.71,11.81,4.54
JA6-090-070,5.71,11.81,4.54
JA7-C20-060,5.71,11.81,4.54
JA6-A99-060,5.71,11.81,4.54
JA6-090-065,5.71,11.81,4.54
JA6-A99-070,5.71,11.81,4.54
JA6-A99-065,5.71,11.81,4.54
JA6-090-060,5.71,11.81,4.54
HV6-B61-020,7,10.4,4.21
GR5-001-045,6.69,10.63,4.33
EO8-B26-040,6.69,10.63,4.33
JK6-C25-030,6.69,10.63,4.33
EO8-B26-030,6.69,10.63,4.33
JK6-C24-040,6.69,10.63,4.33
HT9-B59-045,6.69,10.63,4.33
GR5-001-040,6.69,10.63,4.33
FV1-194-030,6.69,10.63,4.33
IC3-B48-040,6.69,10.63,4.33
HT9-B59-040,6.69,10.63,4.33
GR5-001-030,6.69,10.63,4.33
EO8-675-040,6.69,10.63,4.33
EO8-675-030,6.69,10.63,4.33
GX9-001-030,6.69,10.63,4.33
JK6-C26-045,6.69,10.63,4.33
EO8-137-040,6.69,10.63,4.33
EO8-137-030,6.69,10.63,4.33
HT9-675-040,6.69,10.63,4.33
GB3-090-040,6.69,10.63,4.33
HI2-B04-030,6.69,10.63,4.33
HI2-B04-040,6.69,10.63,4.33
EO8-A68-040,6.69,10.63,4.33
JA3-011-030,6.69,10.63,4.33
HM2-B15-030,6.69,10.63,4.33
HG4-001-045,6.69,10.63,4.33
HG4-A94-040,6.69,10.63,4.33
FT9-090-030,6.69,10.63,4.33
HT9-B59-030,6.69,10.63,4.33
JK6-C25-040,6.69,10.63,4.33
HT9-675-030,6.69,10.63,4.33
JK6-C25-045,6.69,10.63,4.33
EB1-194-030,6.69,10.63,4.33
FE8-090-030,6.69,10.63,4.33
JK6-C26-030,6.69,10.63,4.33
HG4-001-035,6.69,10.63,4.33
JK6-C26-040,6.69,10.63,4.33
JK5-090-045,6.69,10.63,4.33
HG4-A94-035,6.69,10.63,4.33
JK5-011-040,6.69,10.63,4.33
GR5-A76-045,6.69,10.63,4.33
FE8-090-040,6.69,10.63,4.33
FV1-592-040,6.69,10.63,4.33
JA3-011-040,6.69,10.63,4.33
GR5-A76-030,6.69,10.63,4.33
FT9-090-040,6.69,10.63,4.33
JK6-C24-045,6.69,10.63,4.33
JK6-C24-030,6.69,10.63,4.33
FV1-090-030,6.69,10.63,4.33
JK5-090-040,6.69,10.63,4.33
HM2-B15-040,6.69,10.63,4.33
FT9-137-040,6.69,10.63,4.33
FV1-090-040,6.69,10.63,4.33
JA3-012-040,6.69,10.63,4.33
JA3-011-045,6.69,10.63,4.33
HG4-A94-030,6.69,10.63,4.33
EB1-194-040,6.69,10.63,4.33
HM2-B11-040,6.69,10.63,4.33
HG4-592-045,6.69,10.63,4.33
FE8-592-030,6.69,10.63,4.33
GB3-090-030,6.69,10.63,4.33
HM2-B11-030,6.69,10.63,4.33
HG4-592-030,6.69,10.63,4.33
EB1-A20-040,6.69,10.63,4.33
FE8-592-040,6.69,10.63,4.33
HG4-592-035,6.69,10.63,4.33
HG4-592-040,6.69,10.63,4.33
E2N-D20-030,6.7,10.7,4.31
E2M-D20-045,6.7,10.7,4.31
E2N-D20-055,6.7,10.7,4.31
E2M-D20-050,6.7,10.7,4.31
E2M-D20-040,6.7,10.7,4.31
E2N-D20-050,6.7,10.7,4.31
E2M-D20-055,6.7,10.7,4.31
E2M-D20-030,6.7,10.7,4.31
E2N-D20-045,6.7,10.7,4.31
E2N-D20-040,6.7,10.7,4.31
GK6-A94-030,7.09,10.63,4.13
FV3-090-040,7.09,10.63,4.13
GK6-090-040,7.09,10.63,4.13
FV3-137-040,7.09,10.63,4.13
FV3-592-040,7.09,10.63,4.13
FV3-592-030,7.09,10.63,4.13
FQ7-090-030,7.09,10.63,4.13
FV3-090-030,7.09,10.63,4.13
GK6-090-045,7.09,10.63,4.13
GK6-090-035,7.09,10.63,4.13
GB8-592-030,7.09,10.63,4.13
GK6-090-030,7.09,10.63,4.13
GK6-A89-030,7.09,10.63,4.13
FD7-090-040,7.09,10.63,4.13
FD7-090-030,7.09,10.63,4.13
HT9-011-040,6.75,10.75,4.39
HT9-011-050,6.75,10.75,4.39
HT9-011-060,6.75,10.75,4.39
HS3-001-030,6.75,10.75,4.39
HT9-011-030,6.75,10.75,4.39
HT9-011-070,6.75,10.75,4.39
D284-999-999,9.06,12.8,2.77
GG7-399-007,14.8,18,1.21
J80-D11-115,5.12,13.39,4.72
J80-001-120,5.12,13.39,4.72
EQ4-399-120,5.12,13.39,4.72
J80-001-110,5.12,13.39,4.72
FD2-090-080,5.12,13.39,4.72
FD2-090-090,5.12,13.39,4.72
J80-925-110,5.12,13.39,4.72
J80-D11-110,5.12,13.39,4.72
GS9-399-100,5.12,13.39,4.72
HK7-B12-090,5.12,13.39,4.72
GS9-A93-100,5.12,13.39,4.72
J80-B12-115,5.12,13.39,4.72
J80-B80-110,5.12,13.39,4.72
JC9-C55-115,5.12,13.39,4.72
GS9-001-090,5.12,13.39,4.72
J80-399-120,5.12,13.39,4.72
J80-399-110,5.12,13.39,4.72
JC9-C55-110,5.12,13.39,4.72
EQ4-090-110,5.12,13.39,4.72
J80-925-120,5.12,13.39,4.72
HK7-001-090,5.12,13.39,4.72
J80-925-115,5.12,13.39,4.72
HK7-001-080,5.12,13.39,4.72
JK7-C53-080,5.12,13.39,4.72
J80-001-115,5.12,13.39,4.72
HI3-B04-090,5.12,13.39,4.72
HI3-B04-080,5.12,13.39,4.72
J80-D11-120,5.12,13.39,4.72
EQ4-090-120,5.12,13.39,4.72
HK7-B12-080,5.12,13.39,4.72
EQ4-399-115,5.12,13.39,4.72
EQ4-399-110,5.12,13.39,4.72
EQ4-090-115,5.12,13.39,4.72
GS9-001-100,5.12,13.39,4.72
J80-399-115,5.12,13.39,4.72
HX3-001-050,6.8,10.8,4.41
HX3-001-090,6.8,10.8,4.41
HX3-001-030,6.8,10.8,4.41
HX3-001-070,6.8,10.8,4.41
HX3-001-045,6.8,10.8,4.41
HX3-001-080,6.8,10.8,4.41
HX3-001-055,6.8,10.8,4.41
HX3-001-065,6.8,10.8,4.41
HX3-001-040,6.8,10.8,4.41
HX3-001-060,6.8,10.8,4.41
EJ8-C97-045,7.87,10.04,4.13
GC1-A32-040,7.87,10.04,4.13
IF9-011-040,7.87,10.04,4.13
HH3-B41-040,7.87,10.04,4.13
X03-399-040,7.87,10.04,4.13
HN9-B37-040,7.87,10.04,4.13
I88-592-030,7.87,10.04,4.13
I88-A01-040,7.87,10.04,4.13
I88-B48-040,7.87,10.04,4.13
EJ8-C97-040,7.87,10.04,4.13
X03-339-040,7.87,10.04,4.13
I88-323-040,7.87,10.04,4.13
K04-592-045,7.87,10.04,4.13
H84-A33-030,7.87,10.04,4.13
FZ4-442-040,7.87,10.04,4.13
I88-011-040,7.87,10.04,4.13
HT8-011-030,7.87,10.04,4.13
I88-675-040,7.87,10.04,4.13
H84-090-030,7.87,10.04,4.13
I88-001-045,7.87,10.04,4.13
I88-675-030,7.87,10.04,4.13
HN9-B37-030,7.87,10.04,4.13
EY2-011-040,7.87,10.04,4.13
IF9-011-030,7.87,10.04,4.13
FV6-C88-045,7.87,10.04,4.13
I88-323-030,7.87,10.04,4.13
ES8-592-045,7.87,10.04,4.13
I88-024-030,7.87,10.04,4.13
IG2-011-040,7.87,10.04,4.13
I88-001-040,7.87,10.04,4.13
ES8-090-045,7.87,10.04,4.13
EJ8-A94-030,7.87,10.04,4.13
HI7-B06-040,7.87,10.04,4.13
I88-B41-040,7.87,10.04,4.13
HR1-675-030,7.87,10.04,4.13
HH3-A99-030,7.87,10.04,4.13
IF9-011-045,7.87,10.04,4.13
FV6-194-040,7.87,10.04,4.13
IF9-B91-030,7.87,10.04,4.13
I88-C20-045,7.87,10.04,4.13
K04-001-040,7.87,10.04,4.13
FV6-C88-030,7.87,10.04,4.13
K26-054-045,7.87,10.04,4.13
GY2-442-040,7.87,10.04,4.13
I88-C32-045,7.87,10.04,4.13
EJ8-A94-040,7.87,10.04,4.13
HO1-194-040,7.87,10.04,4.13
K26-054-030,7.87,10.04,4.13
K03-001-030,7.87,10.04,4.13
I88-323-045,7.87,10.04,4.13
X03-339-030,7.87,10.04,4.13
EJ8-C89-040,7.87,10.04,4.13
HH3-B12-030,7.87,10.04,4.13
HH3-B12-040,7.87,10.04,4.13
H84-001-030,7.87,10.04,4.13
ES8-090-040,7.87,10.04,4.13
EJ8-011-045,7.87,10.04,4.13
X03-399-045,7.87,10.04,4.13
X03-399-030,7.87,10.04,4.13
I88-675-045,7.87,10.04,4.13
X03-339-045,7.87,10.04,4.13
HO1-001-040,7.87,10.04,4.13
K03-001-040,7.87,10.04,4.13
I88-C32-040,7.87,10.04,4.13
Z64-001-040,7.87,10.04,4.13
HI7-B06-030,7.87,10.04,4.13
I88-001-030,7.87,10.04,4.13
GY2-442-030,7.87,10.04,4.13
HN9-001-030,7.87,10.04,4.13
I88-592-040,7.87,10.04,4.13
HH3-C88-040,7.87,10.04,4.13
I88-024-045,7.87,10.04,4.13
HH3-B70-040,7.87,10.04,4.13
GY2-231-040,7.87,10.04,4.13
H84-090-040,7.87,10.04,4.13
H84-442-030,7.87,10.04,4.13
HT8-011-040,7.87,10.04,4.13
I88-A15-040,7.87,10.04,4.13
EJ8-C89-045,7.87,10.04,4.13
FV6-C89-045,7.87,10.04,4.13
HH3-B70-030,7.87,10.04,4.13
K04-592-030,7.87,10.04,4.13
FJ4-090-040,7.87,10.04,4.13
I88-A15-030,7.87,10.04,4.13
I88-592-045,7.87,10.04,4.13
IK7-011-030,7.87,10.04,4.13
GX5-231-040,7.87,10.04,4.13
I88-B48-045,7.87,10.04,4.13
I88-B41-030,7.87,10.04,4.13
FV6-C88-040,7.87,10.04,4.13
K03-B09-030,7.87,10.04,4.13
I88-B41-045,7.87,10.04,4.13
HH3-001-040,7.87,10.04,4.13
I88-024-040,7.87,10.04,4.13
EJ8-C89-030,7.87,10.04,4.13
HO1-001-030,7.87,10.04,4.13
EJ8-C97-030,7.87,10.04,4.13
K03-A94-040,7.87,10.04,4.13
IK7-675-040,7.87,10.04,4.13
IK7-675-030,7.87,10.04,4.13
IK7-054-030,7.87,10.04,4.13
K04-001-045,7.87,10.04,4.13
GY2-572-040,7.87,10.04,4.13
GY2-572-030,7.87,10.04,4.13
GY2-231-030,7.87,10.04,4.13
HT8-011-045,7.87,10.04,4.13
FZ4-442-030,7.87,10.04,4.13
H84-A31-030,7.87,10.04,4.13
ES8-194-040,7.87,10.04,4.13
HN9-001-040,7.87,10.04,4.13
HH3-C88-030,7.87,10.04,4.13
HH3-A99-040,7.87,10.04,4.13
ES8-194-045,7.87,10.04,4.13
ES8-323-040,7.87,10.04,4.13
H84-442-040,7.87,10.04,4.13
K03-A94-030,7.87,10.04,4.13
K26-054-040,7.87,10.04,4.13
HH3-B42-030,7.87,10.04,4.13
HH3-001-030,7.87,10.04,4.13
FJ4-090-030,7.87,10.04,4.13
FV6-C89-040,7.87,10.04,4.13
I88-011-045,7.87,10.04,4.13
IG2-011-030,7.87,10.04,4.13
FV6-C89-030,7.87,10.04,4.13
I88-011-030,7.87,10.04,4.13
ES8-194-030,7.87,10.04,4.13
ES8-090-030,7.87,10.04,4.13
ES8-592-040,7.87,10.04,4.13
GX5-231-045,7.87,10.04,4.13
H84-001-040,7.87,10.04,4.13
HO1-194-045,7.87,10.04,4.13
X03-231-040,7.87,10.04,4.13
ES8-592-030,7.87,10.04,4.13
N28-001-030,8.07,10.83,3.74
N28-399-040,8.07,10.83,3.74
N28-645-040,8.07,10.83,3.74
N28-399-030,8.07,10.83,3.74
N28-645-030,8.07,10.83,3.74
N28-001-040,8.07,10.83,3.74
I88-A15-045,7.87,10.04,4.14
EJ8-A94-045,7.87,10.04,4.14
HO6-A89-045,7,10.5,4.51
EB1-675-030,7.09,10.83,4.33
EB1-090-045,7.09,10.83,4.33
EB1-675-045,7.09,10.83,4.33
EB1-592-030,7.09,10.83,4.33
EB1-675-040,7.09,10.83,4.33
EB1-592-040,7.09,10.83,4.33
EB1-592-045,7.09,10.83,4.33
EB1-090-030,7.09,10.83,4.33
EB1-090-040,7.09,10.83,4.33
EO8-592-065,6.3,11.22,4.72
EO8-011-050,6.3,11.22,4.72
EO8-090-060,6.3,11.22,4.72
EO8-011-070,6.3,11.22,4.72
EO8-592-060,6.3,11.22,4.72
EO8-592-050,6.3,11.22,4.72
EO8-090-050,6.3,11.22,4.72
EO8-592-070,6.3,11.22,4.72
EO8-090-070,6.3,11.22,4.72
EO8-090-065,6.3,11.22,4.72
EO8-011-060,6.3,11.22,4.72
IP9-C10-065,5.91,12.01,4.72
HO6-001-070,6.5,11.5,4.51
HF1-A86-030,5.03,13.4,5.01
HL5-B26-030,7.09,11.02,4.33
HJ9-B12-040,7.09,11.02,4.33
HJ9-A99-040,7.09,11.02,4.33
HL5-B26-040,7.09,11.02,4.33
HL5-A89-030,7.09,11.02,4.33
HJ9-001-030,7.09,11.02,4.33
HJ9-B09-030,7.09,11.02,4.33
HL5-A89-040,7.09,11.02,4.33
HJ9-A99-030,7.09,11.02,4.33
HJ9-B12-030,7.09,11.02,4.33
HJ9-B09-040,7.09,11.02,4.33
HJ9-001-040,7.09,11.02,4.33
GR6-001-080,6.69,11.81,4.33
DX9-B09-090,6.69,11.81,4.33
DX9-B09-080,6.69,11.81,4.33
DX9-A94-090,6.69,11.81,4.33
DX9-A94-080,6.69,11.81,4.33
GR6-A76-080,6.69,11.81,4.33
JA7-C15-090,5.91,12.4,4.73
JA7-C20-090,5.91,12.4,4.73
JA6-A99-090,5.91,12.4,4.73
JA6-090-080,5.91,12.4,4.73
JA6-090-090,5.91,12.4,4.73
JA6-A99-080,5.91,12.4,4.73
JA7-C20-080,5.91,12.4,4.73
HO1-A20-045,8.1,10.6,4.11
HO1-001-045,8.1,10.6,4.11
CK1-675-090,6.69,12.2,4.33
CK1-675-080,6.69,12.2,4.33
Q74-592-080,6.69,12.2,4.33
Q74-592-090,6.69,12.2,4.33
CK1-090-090,6.69,12.2,4.33
CK1-011-090,6.69,12.2,4.33
CK1-011-080,6.69,12.2,4.33
CK1-090-080,6.69,12.2,4.33
Q74-001-080,6.69,12.2,4.33
Q74-001-090,6.69,12.2,4.33
HT9-011-045,7,11.2,4.51
X22-090-030,7.87,10.43,4.33
X22-194-040,7.87,10.43,4.33
EJ9-090-040,7.87,10.43,4.33
CM3-194-030,7.87,10.43,4.33
O96-031-045,7.87,10.43,4.33
EK1-090-040,7.87,10.43,4.33
X22-194-035,7.87,10.43,4.33
JL1-399-040,7.87,10.43,4.33
JL1-090-045,7.87,10.43,4.33
X22-001-030,7.87,10.43,4.33
JL1-399-030,7.87,10.43,4.33
X22-011-040,7.87,10.43,4.33
X22-090-035,7.87,10.43,4.33
JL1-090-040,7.87,10.43,4.33
X22-011-035,7.87,10.43,4.33
JL1-090-030,7.87,10.43,4.33
JL1-C35-040,7.87,10.43,4.33
R49-011-040,7.87,10.43,4.33
CM3-826-040,7.87,10.43,4.33
CM3-194-040,7.87,10.43,4.33
EJ9-090-030,7.87,10.43,4.33
EK1-090-030,7.87,10.43,4.33
R49-011-030,7.87,10.43,4.33
X22-194-030,7.87,10.43,4.33
O96-031-030,7.87,10.43,4.33
X22-001-035,7.87,10.43,4.33
FK8-A21-040,7.87,10.43,4.33
X22-011-030,7.87,10.43,4.33
R49-001-030,7.87,10.43,4.33
R49-001-045,7.87,10.43,4.33
X22-090-040,7.87,10.43,4.33
R49-011-045,7.87,10.43,4.33
JL1-C35-030,7.87,10.43,4.33
R49-001-040,7.87,10.43,4.33
X22-001-040,7.87,10.43,4.33
HF9-194-035,7.48,11.02,4.33
HS1-675-030,7.48,11.02,4.33
HS1-001-030,7.48,11.02,4.33
HF9-194-030,7.48,11.02,4.33
